symbol,open,high,low,close,volume,SMA_20,EMA_20,return_1d,return_5d,volatility_20d,date,data_source,target_return,market_return_1d,market_return_5d,market_volatility_20d,market_dispersion_1d,relative_return_1d,relative_return_5d,return_rank,vol_rank,volume_rank,inverse_vol,shock_score,jump_flag,momentum_proxy,factor_proxy,return_mean_20d,return_std_20d,volume_mean_20d,volume_std_20d,corr_to_market_20d,tail_risk_20d,market_beta_20d,return_1d_lag_1,return_5d_lag_1,volatility_20d_lag_1,market_return_1d_lag_1,relative_return_1d_lag_1,momentum_proxy_lag_1,shock_score_lag_1,factor_proxy_lag_1,corr_to_market_20d_lag_1,tail_risk_20d_lag_1,return_1d_lag_5,return_5d_lag_5,volatility_20d_lag_5,market_return_1d_lag_5,relative_return_1d_lag_5,momentum_proxy_lag_5,shock_score_lag_5,factor_proxy_lag_5,corr_to_market_20d_lag_5,tail_risk_20d_lag_5
SOL/USD,135.223,136.565,132.47,133.177,35.637601267,135.279663423625,137.99515969924624,0.006921893370330556,-0.07961464301264032,0.03685670875680305,2025-12-08,alpaca,0.03534394077055336,0.01395464223363212,-0.05352323830695267,0.03621049797104002,0.01039040233017092,-0.007032748863301564,-0.026091404705687646,0.4,0.6,0.6,27.132095143858102,0.19081321128195797,0.0,-0.05285302385916398,0.4,-0.0020767462564687143,0.03685670875680307,387.7085366058001,478.8342765114533,0.9614062294224799,-0.041488814803465585,0.0012212813844207102,0.00014745693501327928,-0.04635157545605295,0.040690675123138106,0.00369843541061734,-0.0035509784756040607,-0.03679074304156961,0.08726760104574532,0.3,0.9501626533180977,-0.041488814803465585,0.04331242339029484,0.05333770109922109,0.041239466917724066,0.050937768128880914,-0.007625344738586073,0.03943405272673082,0.1849040120901442,0.5,0.9517358094423589,-0.04635304796866955
AVAX/USD,13.63935,14.7251,13.50815,14.606,950.602748801,13.921827044325,14.260294746107158,0.0704287284719678,0.014185825284515063,0.04610512509636763,2025-12-09,alpaca,-0.03337669450910585,0.04566301715536434,0.014998152870240488,0.037204380362136705,0.019894717446277306,0.024765711316603455,-0.0008123275857254246,1.0,1.0,0.8,21.689557961598606,0.5371573310616892,0.0,0.006686748849394819,0.5,0.0021552254943894176,0.04610512509636765,623.50687425945,608.2385666489765,0.9468067688728395,-0.06863417506170646,0.0015482634639056088,0.011197652272508352,-0.07736726800638305,0.04344433836054576,0.01395464223363212,-0.0027569899611237687,-0.050605648852906714,0.06346026733427874,0.3,0.9409865277130696,-0.06863417506170646,-0.02620155248424516,0.00986606829815595,0.040884778960112986,-0.02509899544662524,-0.0011025570376199216,0.0012070417107675098,0.02696741418172835,0.5,0.925608045499505,-0.04258983560552859
BTC/USD,90628.67,94646.745,89548.042,92681.575,3.422342472,89408.74704999999,91514.08449633775,0.022539789890841044,0.0065288052614889125,0.0265898278514906,2025-12-09,alpaca,-0.0070343647051746006,0.04566301715536434,0.014998152870240488,0.037204380362136705,0.019894717446277306,-0.023123227264523295,-0.008469347608751576,0.2,0.2,0.2,37.60835269418316,0.8696264863919442,0.0,-0.0009702711736313315,0.5,0.0009947534352909293,0.0265898278514906,5.526779492299999,8.138036604984864,0.9171750588869915,-0.045528585282173496,0.0008649720384203906,0.0026680242275727295,-0.030292902284880796,0.026337741742687215,0.01395464223363212,-0.01128661800605939,-0.00353128313140446,0.4285338443587223,0.5,0.9186570387641063,-0.045528585282173496,-0.014867645347045877,0.013495847112041881,0.026163752220099163,-0.02509899544662524,0.010231350099579362,0.004836820524653441,0.39105041597265305,0.9,0.9128203526929834,-0.045528585282173496
DOGE/USD,0.142583,0.1531605,0.1394395,0.148025,59305.650765866,0.14601195,0.1482151138999262,0.03793793758699149,0.003773687262025316,0.03817451577261373,2025-12-09,alpaca,-0.031599391994595494,0.04566301715536434,0.014998152870240488,0.037204380362136705,0.019894717446277306,-0.0077250795683728515,-0.011224465608215172,0.6,0.8,1.0,26.19547930880641,0.20236216199219417,0.0,-0.003725389173094928,0.39999999999999997,-0.0014213453610694093,0.03817451577261373,88989.459004979,88887.46382487562,0.967024811770617,-0.058037094229365024,0.0013093189717489403,0.028048600273205437,-0.05970218138782024,0.038181497110118034,0.01395464223363212,0.014093958039573317,-0.032940562234343905,0.36913047981383745,0.6,0.9651707740323885,-0.058037094229365024,-0.02769838365656907,-0.006685257407669454,0.04130943213838853,-0.02509899544662524,-0.0025993882099438308,-0.015344283995057894,0.06292479577031712,0.2,0.9595677680038956,-0.058037094229365024
ETH/USD,3123.155,3397.7345,3091.7,3318.4875,127.211194246,2991.076025,3092.737446372512,0.062064689056468,0.058887919394665644,0.03784490731915198,2025-12-09,alpaca,0.002001664915115775,0.04566301715536434,0.014998152870240488,0.037204380362136705,0.019894717446277306,0.016401671901103664,0.04388976652442515,0.8,0.6,0.4,26.423627552594365,0.43339166955461556,0.0,0.0513888429595454,0.6000000000000001,0.005342041415416343,0.03784490731915198,50.032497791,50.75771358163438,0.9660781914190187,-0.06402755240909525,0.0012967433540260157,0.020937041024543523,-0.020639196843038943,0.03623220388504604,0.01395464223363212,0.006982398790911403,0.006122422310437393,0.1927124523239033,0.7,0.9651281684845432,-0.06402755240909525,-0.017701016483774867,0.04801311547773501,0.036620173394818135,-0.02509899544662524,0.007397978962850372,0.03935408889034657,0.20201916749267856,0.7,0.9649030111778698,-0.06402755240909525
SOL/USD,133.1435,144.9,131.6235,137.884,152.456102654,135.327238423625,137.9845730612228,0.03534394077055336,-0.008385472851492493,0.03730752577105956,2025-12-09,alpaca,-0.011850541034492679,0.04566301715536434,0.014998152870240488,0.037204380362136705,0.019894717446277306,-0.010319076384810978,-0.02338362572173298,0.4,0.4,0.6,26.804236177285297,0.27659496054992083,0.0,-0.01588454928661274,0.5,0.000994682645501338,0.037307525771059565,372.55903943085,481.3647383424386,0.9601818134587935,-0.041488814803465585,0.001270527969438956,0.006921893370330556,-0.07961464301264032,0.03685670875680305,0.01395464223363212,-0.007032748863301564,-0.05285302385916398,0.19081321128195797,0.4,0.9614062294224799,-0.041488814803465585,-0.03902637926149122,0.02190049239362102,0.04115384701687102,-0.02509899544662524,-0.013927383814865978,0.013241465806232578,0.33842232112427395,0.19999999999999998,0.9493682084148108,-0.04635304796866955
AVAX/USD,14.6111,15.010579811,14.10955,14.1185,349.983628827,13.937852044324998,14.246790484573143,-0.03337669450910585,0.06865231048707576,0.046104942161365424,2025-12-10,alpaca,-0.049697205793816535,-0.01637186546565057,0.04961976000439994,0.03570256673631372,0.015542358964322952,-0.017004829043455284,0.019032550482675825,0.2,1.0,0.8,21.689644021319907,0.36882868859594703,0.0,0.043842430484875794,0.1,0.0021554509812007515,0.04610494216136543,557.16276637305,557.5485855571794,0.950581215616906,-0.06863417506170646,0.0014990754182477566,0.0704287284719678,0.014185825284515063,0.04610512509636763,0.04566301715536434,0.024765711316603455,0.006686748849394819,0.5371573310616892,0.5,0.9468067688728395,-0.06863417506170646,-0.08264302130998424,-0.036395463331023725,0.04408421292561999,-0.04857710680742233,-0.03406591450256191,-0.027940953293098415,0.7727461718002556,0.1,0.9262357513370073,-0.06863417506170646
BTC/USD,92690.785,94524.78,91260.47276975,92029.619,5.288116389,89683.662375,91563.18302049606,-0.0070343647051746006,0.030124569137953694,0.02335598809424619,2025-12-10,alpaca,0.005659129154929943,-0.01637186546565057,0.04961976000439994,0.03570256673631372,0.015542358964322952,0.009337500760475969,-0.019495190866446244,0.8,0.2,0.2,42.81555410155443,0.39979026898346454,0.0,0.005314689135753725,0.8,0.0033424133574326944,0.02335598809424619,4.251420476,5.559976055094379,0.9277676103735438,-0.030544195772465615,0.0007411809099848842,0.022539789890841044,0.0065288052614889125,0.0265898278514906,0.04566301715536434,-0.023123227264523295,-0.0009702711736313315,0.8696264863919442,0.5,0.9171750588869915,-0.045528585282173496,-0.029778975764657822,-0.01133959444914534,0.02676678021347384,-0.04857710680742233,0.01879813104276451,-0.00288508441122003,0.7022930613959804,0.9,0.9164979683986604,-0.045528585282173496
DOGE/USD,0.148057,0.15031,0.14241,0.1433475,23851.655298817,0.14574132499999998,0.14775153162374277,-0.031599391994595494,0.027536450045159366,0.03794291165268942,2025-12-10,alpaca,-0.020492160658539427,-0.01637186546565057,0.04961976000439994,0.03570256673631372,0.015542358964322952,-0.015227526528944924,-0.02208330995924057,0.4,0.8,1.0,26.35537687776132,0.4013272005864521,0.0,0.0027265700429593975,0.3,-0.0011664674276605446,0.03794291165268941,86818.33922701239,89969.51020909555,0.967245027365094,-0.058037094229365024,0.0012553185123017265,0.03793793758699149,0.003773687262025316,0.03817451577261373,0.04566301715536434,-0.0077250795683728515,-0.003725389173094928,0.20236216199219417,0.39999999999999997,0.967024811770617,-0.058037094229365024,-0.053994581893760385,-0.04477387106713693,0.04182192371979484,-0.04857710680742233,-0.005417475086338053,-0.036319361029211614,0.12953669532917592,0.4,0.9646066863994005,-0.058037094229365024
ETH/USD,3316.041,3448.592,3290.325,3325.13,36.946423388,3015.830025,3114.870070527511,0.002001664915115775,0.10011480448498444,0.034180142245615754,2025-12-10,alpaca,-0.026054169310673503,-0.01637186546565057,0.04961976000439994,0.03570256673631372,0.015542358964322952,0.018373530380766345,0.050495044480584506,1.0,0.4,0.4,29.256745049410036,0.5375496940076706,0.0,0.07530492448278447,0.8,0.008642183598289827,0.034180142245615754,46.110811123450006,48.41916788758534,0.9697225908378072,-0.03699743434559809,0.0011337261189046691,0.062064689056468,0.058887919394665644,0.03784490731915198,0.04566301715536434,0.016401671901103664,0.0513888429595454,0.43339166955461556,0.6000000000000001,0.9660781914190187,-0.06402755240909525,-0.0355484228860411,0.010236459832344336,0.03727332310451501,-0.04857710680742233,0.013028683921381234,0.018690969870269646,0.3495443749247914,0.7,0.9640627015748129,-0.06402755240909525
